"SEQUENCIAL_CANDIDATO";"SIGLA_UF";"TOTAL_VOTOS"
40000001042;"AM";207
40000001121;"AM";5585
40000001202;"AM";110
30000000004;"AP";1814
30000000005;"AP";31
30000000021;"AP";417
30000000022;"AP";3843
30000000029;"AP";9667
30000000033;"AP";210
30000000037;"AP";249
30000000046;"AP";7300
30000000052;"AP";241
30000000053;"AP";739
30000000054;"AP";1379
30000000064;"AP";1748
30000000065;"AP";1653
30000000066;"AP";7278
30000000067;"AP";2019
30000000068;"AP";146
30000000080;"AP";1824
30000000083;"AP";460
30000000084;"AP";7443
30000000085;"AP";263
30000000086;"AP";296
30000000087;"AP";22134
30000000089;"AP";30
30000000090;"AP";992
30000000091;"AP";1324
30000000092;"AP";221
30000000108;"AP";167
30000000116;"AP";5947
30000000117;"AP";362
30000000118;"AP";5715
30000000119;"AP";17542
30000000120;"AP";143
30000000121;"AP";371
30000000122;"AP";18709
30000000123;"AP";19
30000000124;"AP";9247
30000000142;"AP";3093
30000000143;"AP";765
30000000144;"AP";80
30000000145;"AP";9678
30000000146;"AP";1598
30000000147;"AP";972
30000000148;"AP";12485
30000000149;"AP";541
30000000150;"AP";886
30000000151;"AP";362
30000000152;"AP";755
30000000153;"AP";629
30000000154;"AP";3531
30000000155;"AP";1412
30000000156;"AP";1972
30000000157;"AP";2127
30000000158;"AP";10007
30000000159;"AP";4818
30000000160;"AP";371
30000000161;"AP";62
30000000162;"AP";14
30000000163;"AP";7564
30000000165;"AP";0
30000000338;"AP";18661
30000000339;"AP";1174
30000000340;"AP";8515
30000000341;"AP";1312
30000000342;"AP";3565
30000000343;"AP";6756
30000000344;"AP";452
30000000345;"AP";10286
30000000346;"AP";521
30000000347;"AP";65
30000000348;"AP";889
30000000349;"AP";10478
30000000350;"AP";5291
30000000351;"AP";0
30000000352;"AP";14
30000000353;"AP";13798
30000000354;"AP";254
30000000355;"AP";751
30000000356;"AP";7918
30000000357;"AP";46
30000000358;"AP";104
30000000359;"AP";183
30000000360;"AP";16
30000000361;"AP";681
30000000462;"AP";21108
30000000463;"AP";1230
30000000464;"AP";4362
30000000465;"AP";719
30000000466;"AP";16162
30000000467;"AP";6563
30000000468;"AP";11593
30000000469;"AP";8707
30000000470;"AP";2461
30000000472;"AP";1698
30000000473;"AP";458
30000000475;"AP";2220
30000000477;"AP";442
30000000478;"AP";202
30000000479;"AP";2357
30000000480;"AP";238
30000000551;"AP";53
30000000561;"AP";23
30000000562;"AP";34
30000000567;"AP";7
30000000568;"AP";29
50000000003;"BA";7263
50000000005;"BA";304
50000000008;"BA";5713
50000000010;"BA";27
50000000011;"BA";844
50000000012;"BA";2288
50000000014;"BA";595
50000000016;"BA";156
50000000017;"BA";1121
50000000019;"BA";854
50000000020;"BA";3209
50000000024;"BA";1523
50000000027;"BA";1330
50000000030;"BA";287
50000000033;"BA";633
50000000035;"BA";1944
50000000039;"BA";1035
50000000042;"BA";0
50000000043;"BA";44
50000000046;"BA";2735
50000000051;"BA";2512
50000000053;"BA";4781
50000000054;"BA";21
50000000061;"BA";399
50000000066;"BA";3528
50000000068;"BA";80
50000000072;"BA";61
50000000073;"BA";844
50000000075;"BA";684
50000000078;"BA";304
50000000079;"BA";82
50000000080;"BA";3599
50000000081;"BA";575
50000000084;"BA";96
50000000120;"BA";159840
50000000121;"BA";71372
50000000122;"BA";1299
50000000123;"BA";130583
50000000124;"BA";1165
50000000125;"BA";163
50000000126;"BA";1384
50000000127;"BA";1560
50000000128;"BA";12242
50000000129;"BA";694
50000000131;"BA";28276
50000000132;"BA";82661
50000000133;"BA";72682
50000000134;"BA";50681
50000000135;"BA";135382
50000000136;"BA";65171
50000000137;"BA";31503
50000000138;"BA";63624
50000000139;"BA";55636
50000000140;"BA";3945
50000000141;"BA";125159
50000000142;"BA";98871
50000000143;"BA";0
50000000144;"BA";48531
50000000145;"BA";125862
50000000146;"BA";81414
50000000147;"BA";111252
50000000148;"BA";64265
50000000149;"BA";123284
50000000150;"BA";114965
50000000151;"BA";56507
50000000152;"BA";51676
50000000153;"BA";66215
50000000154;"BA";105776
50000000155;"BA";72013
50000000156;"BA";56206
50000000157;"BA";77045
50000000158;"BA";1417
50000000159;"BA";111643
50000000160;"BA";101663
50000000161;"BA";16694
50000000162;"BA";37
50000000163;"BA";85
50000000164;"BA";125605
50000000166;"BA";6960
50000000167;"BA";169215
50000000168;"BA";110822
50000000169;"BA";148628
50000000170;"BA";3246
50000000172;"BA";52
50000000173;"BA";117
50000000174;"BA";83658
50000000175;"BA";194
50000000178;"BA";6182
50000000183;"BA";21959
50000000190;"BA";1726
50000000194;"BA";555
50000000198;"BA";2746
50000000199;"BA";54172
50000000202;"BA";96134
50000000204;"BA";1080
50000000208;"BA";901
50000000209;"BA";0
50000000213;"BA";1199
50000000216;"BA";7306
50000000229;"BA";6268
50000000230;"BA";4806
50000000231;"BA";811
50000000232;"BA";1969
50000000233;"BA";137
50000000234;"BA";397
50000000235;"BA";478
50000000236;"BA";207
50000000237;"BA";4978
50000000260;"BA";8394
50000000261;"BA";2732
50000000268;"BA";903
50000000275;"BA";1523
50000000418;"BA";532
50000000433;"BA";4857
50000000434;"BA";132
50000000435;"BA";1722
50000000436;"BA";1781
50000000437;"BA";328
50000000438;"BA";157
50000000439;"BA";475
50000000440;"BA";0
50000000441;"BA";88
50000000442;"BA";141
50000000446;"BA";988
50000000448;"BA";34124
50000000449;"BA";288
50000000450;"BA";264
50000000451;"BA";290
50000000452;"BA";1216
50000000453;"BA";1086
50000000454;"BA";1016
50000000455;"BA";277
50000000456;"BA";175
50000000457;"BA";12882
50000000458;"BA";698
50000000459;"BA";570
50000000460;"BA";160
50000000462;"BA";138
50000000464;"BA";0
50000000465;"BA";1848
50000000466;"BA";36779
50000000467;"BA";309
50000000468;"BA";51
50000000469;"BA";0
50000000470;"BA";633
50000000471;"BA";1566
50000000484;"BA";427
50000000485;"BA";1971
50000000486;"BA";379
50000000487;"BA";207
50000000494;"BA";1476
50000000495;"BA";660
50000000496;"BA";22398
50000000497;"BA";241
50000000498;"BA";22782
50000000499;"BA";1376
50000000500;"BA";2428
50000000501;"BA";4900
50000000502;"BA";1617
50000000503;"BA";1565
50000000504;"BA";1229
50000000538;"BA";5667
50000000539;"BA";531
50000000544;"BA";6189
50000000545;"BA";71
50000000546;"BA";1140
50000000547;"BA";393
50000000549;"BA";348
50000000550;"BA";0
50000000551;"BA";39904
50000000552;"BA";1137
50000000580;"BA";0
50000000626;"BA";89118
50000000627;"BA";13245
50000000628;"BA";88334
50000000629;"BA";16908
50000000630;"BA";101924
50000000631;"BA";55170
50000000632;"BA";1935
50000000633;"BA";0
50000000634;"BA";61899
50000000635;"BA";24823
50000000636;"BA";364
50000000637;"BA";110662
50000000638;"BA";4153
50000000639;"BA";120479
50000000640;"BA";361
50000000641;"BA";426
50000000642;"BA";117671
50000000643;"BA";108476
50000000644;"BA";9557
50000000646;"BA";2370
50000000648;"BA";18084
50000000649;"BA";9
50000000650;"BA";46555
50000000651;"BA";0
50000000652;"BA";1609
50000000653;"BA";6241
50000000654;"BA";47
50000000655;"BA";222164
50000000656;"BA";2749
50000000657;"BA";4850
50000000658;"BA";254
50000000659;"BA";1320
50000000660;"BA";2623
50000000661;"BA";95158
50000000662;"BA";2459
50000000664;"BA";817
50000000665;"BA";5410
50000000667;"BA";23017
50000000668;"BA";478
50000000669;"BA";1042
50000000670;"BA";116912
50000000671;"BA";0
50000000672;"BA";117470
50000000673;"BA";63649
50000000674;"BA";57362
50000000676;"BA";95698
50000000677;"BA";4694
50000000679;"BA";56230
50000000680;"BA";1207
50000000681;"BA";161438
50000000682;"BA";987
50000000683;"BA";74836
50000000684;"BA";0
50000000685;"BA";670
50000000686;"BA";474
50000000688;"BA";6643
50000000689;"BA";324
50000000690;"BA";341
50000000691;"BA";718
50000000692;"BA";318
50000000695;"BA";518
50000000696;"BA";431
